x,y,movieId
0.18733755,4.1572638,1
0.81215274,3.1885939,1000
0.23494893,4.452836,100003
0.034263197,3.6056497,100015
1.5554422,2.6607502,100017
0.21433277,4.049203,100032
-0.63050985,2.1964126,100034
-1.0134742,3.529995,100036
-1.8931268,2.8583825,100038
1.0552937,2.261361,100052
0.055986427,4.0147805,100054
-0.68588734,3.3895898,100056
-0.831665,1.3854694,100058
-0.55435115,2.4301696,100070
-0.2502126,3.557195,100083
0.45092946,3.7466688,100087
0.8624701,3.1211853,100091
0.24049872,3.7268043,100096
-0.08076954,3.3251588,100101
-0.22318333,3.469772,100108
0.071339376,3.6418097,100131
0.10314019,4.1177893,100157
0.4389817,3.5667257,100159
0.16273433,3.5109115,100163
-1.0013567,1.5851338,100167
-1.1647115,1.4956619,100173
-0.3459645,0.8547799,100183
0.31929278,3.2178102,100185
-1.3985475,3.6458833,100196
0.4729522,3.279647,1002
0.31638083,3.8732023,100200
-0.7049235,1.438627,100203
0.62136686,3.2628877,100210
-0.74851984,4.2472086,100246
1.2874644,2.4649549,100248
-2.1114633,3.2977588,100255
-0.36113814,1.7519758,100264
0.6639674,3.4426186,100275
-1.154861,1.6441307,100277
-0.9101664,2.2836525,100287
-0.8452249,2.6055565,100289
0.8916042,3.196473,100291
-1.1823832,1.7830565,100302
-1.4945399,3.8055787,100308
-1.7761552,2.709154,100324
-1.553234,2.7062454,100326
-0.72356755,1.7749763,100328
0.2577886,3.2351105,100336
0.29042318,3.2792273,100344
1.1659563,2.1461565,100347
0.361799,1.4987619,100365
-0.20313983,1.6822401,100368
0.4653462,1.8533684,100372
-0.09420323,0.88590556,100383
-0.18138427,0.61893487,100385
0.3321375,3.4647691,100390
-0.44649744,3.038819,100395
-2.0218928,2.8636837,100401
-1.3779706,3.0601914,100440
-1.2477958,1.8333552,100448
-0.5043987,1.8321755,100487
-2.024223,2.5627775,100490
1.4574094,2.3895416,100496
0.69464487,2.2551558,1005
-0.72482187,0.8237841,100505
0.7592554,4.0158973,100513
-1.2819501,1.7068585,100519
0.2747998,3.3485825,100527
0.115079686,3.3603985,100529
0.3933732,2.4271796,100540
-1.4228497,3.407887,100567
-0.4325186,2.8384182,100570
-1.3868201,2.510762,100574
0.64027697,3.3992903,100579
0.12484376,3.7669885,100581
-1.4893017,1.9539016,100583
0.2316745,3.691256,100588
-0.6367807,1.8382617,100611
0.5283966,3.397928,100613
-1.0357734,1.3175184,100714
-0.68297267,1.2265171,100725
0.37971383,2.4614954,100737
0.5381201,2.0365007,100745
-0.38115436,0.8915116,100810
-2.1010258,2.7687445,100823
-1.2161337,2.4407227,100884
0.042415958,2.3487089,100904
-0.5729843,3.1138704,100906
-2.164828,5.399109,101003
-0.77789414,1.0464209,101025
-0.13332638,3.2641957,101062
1.2091483,2.4665651,101070
0.35918733,2.423904,101076
-0.5428217,2.9703224,101088
0.13111573,3.2939544,101097
0.021832008,3.6125395,1011
-1.1594688,2.3937712,101106
0.41828123,3.2363677,101112
0.66214603,3.3915632,101127
-1.1612011,1.860747,101133
0.26908612,3.2014036,101137
0.5388121,3.1402514,101156
0.1381125,3.2607353,101158
-0.97319764,1.563679,101160
-0.7766488,2.0300012,101162
-1.2477698,2.9933133,101168
-1.1580051,2.413419,101176
-1.4965378,3.4267523,101178
-0.33939123,1.717427,101180
-2.1433904,3.176207,101186
1.1026237,2.7998116,101188
0.6650761,3.017517,101207
-2.0452743,3.102845,101214
-0.07200492,0.86989725,101216
0.082592174,3.4145627,101218
0.5523648,3.4731338,101220
-1.5856786,2.6362643,101222
-0.5569248,1.7880365,101237
0.52626705,3.2617207,101239
-1.0425284,1.5111258,101245
-1.5412809,3.7022688,101247
0.2350364,2.8172941,101260
0.64783627,2.8787947,101262
0.48215744,1.8259773,101264
-1.8195387,2.9168904,101273
-1.3128504,2.7720773,101281
-1.2920212,3.493043,101294
0.1929184,1.2484128,101303
-1.4349748,1.5866613,101305
-0.9570311,3.9969983,101319
-1.080981,1.5465138,101329
-0.7220501,1.3415966,101335
0.30170703,1.6603714,101339
0.32205477,3.2087014,101350
-0.8984662,2.745018,101352
0.072151355,3.33514,101362
-0.5331032,2.9296858,101379
0.4137731,1.907575,101381
0.3665246,2.0220046,1014
0.25332332,3.0989962,101400
0.5231656,1.8292786,101402
0.31045967,1.7433414,101405
0.08641644,3.2525117,101409
0.28785503,2.18941,101413
-1.0508841,2.295151,101425
-1.0961653,1.4506837,101428
0.16266015,2.4585667,101433
-0.7494589,1.3235812,101448
-0.9073095,2.5065372,101456
-1.4353875,2.9776933,101466
-1.720227,2.7465045,101485
-1.0273285,2.1624875,101487
0.29460785,1.3601304,1015
-1.4497674,2.315549,101505
0.25325805,3.1939943,101531
-0.61395067,2.0999434,101534
1.1854831,2.1377516,101536
-1.2258703,1.6247834,101579
-0.57071334,1.743781,101581
1.1617798,2.2341363,101612
-0.92579997,2.6019945,101614
-1.5689816,2.512288,101627
-1.7685792,2.9299855,101650
0.6061305,1.7282864,101662
0.5147645,1.7537092,101670
-1.5872618,1.470793,101685
-0.64220077,1.4190944,101687
0.11592943,1.7734152,101689
-1.7705624,2.76515,1017
-1.0637894,2.1669848,101703
-0.07197294,1.1764888,101706
0.3237624,1.8833761,101708
-0.046261467,1.8110154,101715
0.22476593,1.9945985,101719
-0.2327479,2.551167,101726
-0.31171286,2.9509585,101728
-0.10028887,2.276315,101730
-1.4337565,2.0442288,101732
0.277291,2.702352,101739
-1.1497142,2.315022,101741
-0.92935383,1.728911,101754
0.23903126,3.1494534,101756
-0.0126789855,2.9801395,101761
0.38881856,1.8432846,101763
-0.6833392,1.6536852,101770
-0.11417113,3.0806239,101782
0.61788976,1.6467966,101799
